Name,F,Fmin,Fmax,MJD,MJDmin,MJDmax,Coverage,Resolution,Scale,Sensitivity
 Planck 857 I,857e9,750e9,1000e9,55819,55055,56582,1,300,102,0.813
 Planck 545 I,545e9,450e9,650e9,55819,55055,56582,1,300,102,0.471
 Planck 353 I,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 353 Q,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 353 U,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 353 PI,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 353 PA,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 353 PI/I,353e9,310e9,410e9,55819,55055,56582,1,300,102,0.249
 Planck 217 I,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 217 Q,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 217 U,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 217 PI,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 217 PA,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 217 PI/I,217e9,190e9,250e9,55819,55055,56582,1,330,102,0.280
 Planck 143 I,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 143 Q,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 143 U,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 143 PI,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 143 PA,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 143 PI/I,143e9,130e9,160e9,55819,55055,56582,1,426,102,0.328
 Planck 100 I,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 100 Q,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 100 U,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 100 PI,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 100 PA,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 100 PI/I,100e9,85e9,130e9,55819,55055,56582,1,600,102,0.500
 Planck 070 I,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 070 Q,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 070 U,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 070 PI,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 070 PA,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 070 PI/I,070e9,60e9,80e9,55819,55055,56582,1,840,204,0.673
 Planck 044 I,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 044 Q,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 044 U,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 044 PI,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 044 PA,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 044 PI/I,044e9,39e9,58e9,55819,55055,56582,1,1440,204,1.023
 Planck 030 I,030e9,20e9,33e9,55819,55055,56582,1,1980,204,0.487
 Planck 030 Q,030e9,20e9,33e9,55819,55055,56582,1,1980,204,0.487
 Planck 030 U,030e9,20e9,33e9,55819,55055,56582,1,1980,204,0.487
 Planck 030 PI,030e9,20e9,33e9,55819,55055,56582,1,1980,204,0.487
 Planck 030 PA,030e9,20e9,33e9,55819,55055,56582,1,1980,204,0.487
